URL name,Status code,Content length,time
habr.com/ru/post/215117/,200,349538,1412
ru.wikipedia.org/wiki/HTTP,200,264421,408
developer.mozilla.org/ru/docs/Web/HTTP,200,578294,386
ru.bmstu.wiki/HTTP_(Hypertext_Transfer_Protocol),200,74610,582
proselyte.net/tutorials/http-tutorial/introduction/,200,22972,720
www.speedcheck.org/ru/wiki/http/,200,123506,656
ki.gov.kz/index.php/ru/ncalayer,200,40925,156
ww.edu.gov.kz/,200,77864,147
dilet.zan.kz/rus,200,65670,20
wiki.merionet.ru/servernye-resheniya/3/protocol-http/,200,30953,225
www.opennet.ru/docs/RUS/http/,200,11559,386
www.w3.org/Protocols/HTTP/1.1/rfc2616bis/draft-lafon-rfc2616bis-03.html,200,745969,828
flaviocopes.com/http/,200,68508,780
www.extrahop.com/resources/protocols/http/,200,79957,1324
